sotu,isZoonotic,maxTaxonDistance,maxDiversity,numUniqueTaxOrders
u708769,True,0,0,0
u428681,False,0,0,0
u582294,False,0,0,0
u874340,False,0,0,0
u896319,False,32.0,4.45140724613216,5
u851981,False,0,0,1
u1013662,False,0,0,0
u1054557,False,0,0,0
u24121,False,0,0,0
u17107,False,0,0,0
u550190,False,0,0,0
u7892,False,0,0,0
u492552,False,0,0,0
u118871,False,0,0,1
u37868,False,17.0,1.955955791139358,2
u232264,False,0,0,0
u501640,False,0,0,0
u189209,False,0,0,0
u24285,False,31.0,4.93737651904324,7
u327480,False,0,0,0
u655660,False,0,0,0
u416424,False,0,0,0
u877453,False,0,0,0
u916935,False,0,0,0
u1031306,False,0,0,0
u556668,False,0,0,0
u230589,False,0,0,0
u460607,False,0,0,0
u191472,False,0,0,0
u259922,False,32.0,3.788368919012246,4
u1051646,False,0,0,0
u17125,False,21.0,2.764099496758621,3
