appId,labels,type,taxId,isZoonotic,hostClass,taxRank,communityId,taxOrder,displayLabel,pageRankSotu,louvainCommunityId,communityColorCodes,sourceAppId,hostCount,hostCountNormalized
u157886,"['Palmprint', 'SOTU']",SOTU,11033,True,nan,species,54,Martellivirales,Martellivirales,1.0,193,10,,,
u869564,"['Palmprint', 'SOTU']",SOTU,11033,True,nan,species,55,Martellivirales,Martellivirales,0.0,176,0,,,
u240559,"['Palmprint', 'SOTU']",SOTU,11033,True,nan,species,0,Martellivirales,Martellivirales,1.0,193,0,u240559,3.0,0.0
u1019643,"['Palmprint', 'SOTU']",SOTU,11033,True,nan,species,0,Martellivirales,Martellivirales,0.0,193,0,u1019643,1.0,0.0
u6076,"['Palmprint', 'SOTU']",SOTU,64295,True,nan,species,0,Amarillovirales,Amarillovirales,1.0,208,0,u6076,3.0,0.0
u1631,"['Palmprint', 'SOTU']",SOTU,11084,True,nan,species,0,Amarillovirales,Amarillovirales,1.0,208,0,u1631,3.0,0.0
u473002,"['Palmprint', 'SOTU']",SOTU,352236,False,nan,no rank,56,Articulavirales,Articulavirales,0.0,181,1,,,
u559622,"['Palmprint', 'SOTU']",SOTU,352236,False,nan,no rank,57,Articulavirales,Articulavirales,0.0,182,2,,,
u21349,"['Palmprint', 'SOTU']",SOTU,352236,False,nan,no rank,0,Articulavirales,Articulavirales,0.0,193,0,u21349,1.0,0.0
u978470,"['Palmprint', 'SOTU']",SOTU,352236,False,nan,no rank,0,Articulavirales,Articulavirales,0.0,399,0,u978470,1.0,0.0
u514679,"['Palmprint', 'SOTU']",SOTU,352236,False,nan,no rank,58,Articulavirales,Articulavirales,0.0,185,3,,,
u583895,"['Palmprint', 'SOTU']",SOTU,352236,False,nan,no rank,0,Articulavirales,Articulavirales,0.0,399,0,u583895,1.0,0.0
u16052,"['Palmprint', 'SOTU']",SOTU,75888,False,nan,species,0,Reovirales,Reovirales,0.0,193,0,,,
u253503,"['Palmprint', 'SOTU']",SOTU,2593991,False,nan,no rank,59,Mononegavirales,Mononegavirales,0.0,193,4,,,
u14846,"['Palmprint', 'SOTU']",SOTU,64298,False,nan,species,0,Amarillovirales,Amarillovirales,0.0,208,0,,,
u648909,"['Palmprint', 'SOTU']",SOTU,64298,False,nan,species,60,Amarillovirales,Amarillovirales,0.0,190,5,,,
u19742,"['Palmprint', 'SOTU']",SOTU,380434,False,nan,no rank,0,Mononegavirales,Mononegavirales,0.0,857,0,u19742,2.0,0.0
u1030898,"['Palmprint', 'SOTU']",SOTU,11036,True,nan,species,61,Martellivirales,Martellivirales,0.0,192,6,,,
