appId,labels,type,taxId,isZoonotic,hostClass,taxRank,communityId,taxOrder,displayLabel,pageRankSotu,louvainCommunityId,zoonoticColorCodes,communityColorCodes,sourceAppId,hostCount,hostCountNormalized
u19445,"['Palmprint', 'SOTU']",SOTU,64294,False,nan,species,2,Amarillovirales,u19445,0.15000000000000002,208.0,0,2,u19445,1.0,0.0
u6944,"['Palmprint', 'SOTU']",SOTU,904698,False,nan,no rank,58,Bunyavirales,u6944,0.20103383656823418,215.0,0,3,,,
u659542,"['Palmprint', 'SOTU']",SOTU,2748252,False,nan,species,81,Bunyavirales,u659542,0.15000000000000002,155.0,0,4,u659542,1.0,0.0
u688967,"['Palmprint', 'SOTU']",SOTU,154122,False,nan,species,82,Picornavirales,u688967,0.15000000000000002,156.0,0,5,u688967,2.0,0.0
u25165,"['Palmprint', 'SOTU']",SOTU,38143,False,nan,no rank,56,Nidovirales,u25165,0.15936630480607086,227.0,0,1,,,
u9527,"['Palmprint', 'SOTU']",SOTU,38143,False,nan,no rank,56,Nidovirales,u9527,0.18869935309709715,227.0,0,1,u9527,1.0,0.0
u988516,"['Palmprint', 'SOTU']",SOTU,38143,False,nan,no rank,83,Nidovirales,u988516,0.15000000000000002,159.0,0,6,u988516,1.0,0.0
u3548,"['Palmprint', 'SOTU']",SOTU,11318,True,nan,species,84,Articulavirales,u3548,0.25933775317360325,410.0,1,7,u3548,1.0,0.0
u916072,"['Palmprint', 'SOTU']",SOTU,11318,True,nan,species,85,Articulavirales,u916072,0.15000000000000002,161.0,1,8,,,
u902785,"['Palmprint', 'SOTU']",SOTU,11318,True,nan,species,86,Articulavirales,u902785,0.15000000000000002,162.0,1,9,u902785,1.0,0.0
u2562,"['Palmprint', 'SOTU']",SOTU,11303,False,nan,no rank,87,Mononegavirales,u2562,0.22741036179568866,163.0,0,10,u2562,2.0,0.0
u27014,"['Palmprint', 'SOTU']",SOTU,35307,True,nan,no rank,88,Bunyavirales,u27014,0.40746526041002346,24.0,1,0,,,
u19955,"['Palmprint', 'SOTU']",SOTU,47000,False,nan,species,89,Picornavirales,u19955,0.15000000000000002,165.0,0,1,,,
u786704,"['Palmprint', 'SOTU']",SOTU,138948,True,nan,species,90,Picornavirales,u786704,0.15000000000000002,166.0,1,2,,,
u626280,"['Palmprint', 'SOTU']",SOTU,172314,True,nan,no rank,91,Picornavirales,u626280,0.15000000000000002,167.0,1,3,u626280,2.0,0.0
u744974,"['Palmprint', 'SOTU']",SOTU,172314,True,nan,no rank,92,Picornavirales,u744974,0.15000000000000002,168.0,1,4,,,
u2083,"['Palmprint', 'SOTU']",SOTU,172314,True,nan,no rank,93,Picornavirales,u2083,0.17755846850245194,332.0,1,5,,,
u152971,"['Palmprint', 'SOTU']",SOTU,172314,True,nan,no rank,94,Picornavirales,u152971,0.25187916750873285,332.0,1,6,,,
